participant,trial,response_time,group,trialOrder,correct,side,changeTrial,RTwoOutlier,phase
P37,32,2.064057112,TLD,3,1,right,1.0,2.064057112,implicit
P37,33,2.383753777,TLD,3,1,right,0.0,2.383753777,implicit
P37,34,2.557632923,TLD,3,1,left,1.0,2.557632923,implicit
P37,35,2.56945014,TLD,3,1,left,0.0,2.56945014,implicit
P37,36,2.394768953,TLD,3,1,right,1.0,2.394768953,implicit
P37,37,2.61473608,TLD,3,1,left,1.0,2.61473608,implicit
P37,38,2.53819108,TLD,3,1,right,1.0,2.53819108,implicit
P37,39,2.082919121,TLD,3,0,right,0.0,2.082919121,implicit
P37,40,2.793061018,TLD,3,1,left,1.0,2.793061018,implicit
P37,41,2.047642946,TLD,3,1,right,1.0,2.047642946,implicit
P37,42,2.421249151,TLD,3,1,left,1.0,2.421249151,implicit
P37,43,2.213670969,TLD,3,1,right,1.0,2.213670969,implicit
P37,44,2.445108891,TLD,3,1,left,1.0,2.445108891,implicit
P37,45,2.063259125,TLD,3,1,right,1.0,2.063259125,implicit
P37,46,1.434899807,TLD,3,0,right,0.0,1.434899807,implicit
P37,47,2.608231783,TLD,3,1,left,1.0,2.608231783,implicit
P37,48,2.669149876,TLD,3,1,left,0.0,2.669149876,implicit
P39,1,1.395913839,TLD,2,1,left,0.0,1.395913839,implicit
P39,2,3.812877178,TLD,2,1,right,1.0,3.812877178,implicit
P39,3,4.076948881,TLD,2,1,left,1.0,4.076948881,implicit
P39,4,3.068012953,TLD,2,1,left,0.0,3.068012953,implicit
P39,5,3.660546064,TLD,2,1,right,1.0,3.660546064,implicit
P39,6,2.795032024,TLD,2,1,right,0.0,2.795032024,implicit
P39,7,2.731036186,TLD,2,1,right,0.0,2.731036186,implicit
P39,8,3.194370985,TLD,2,1,left,1.0,3.194370985,implicit
P39,9,2.317815065,TLD,2,1,left,0.0,2.317815065,implicit
P39,10,2.444582939,TLD,2,1,right,1.0,2.444582939,implicit
P39,11,2.562735081,TLD,2,1,left,1.0,2.562735081,implicit
P39,12,2.863554001,TLD,2,1,right,1.0,2.863554001,implicit
P39,13,2.328476191,TLD,2,1,left,1.0,2.328476191,implicit
P39,14,2.079566956,TLD,2,1,right,1.0,2.079566956,implicit
P39,15,1.718199968,TLD,2,0,right,0.0,1.718199968,implicit
P39,16,3.161022186,TLD,2,0,left,1.0,3.161022186,implicit
P39,17,2.657562971,TLD,2,1,right,1.0,2.657562971,implicit
P39,18,1.363979816,TLD,2,1,left,1.0,1.363979816,implicit
P39,19,2.386454105,TLD,2,1,left,0.0,2.386454105,implicit
P39,20,2.227216005,TLD,2,1,right,1.0,2.227216005,implicit
P39,21,2.612540007,TLD,2,1,left,1.0,2.612540007,implicit
P39,22,2.140540123,TLD,2,1,right,1.0,2.140540123,implicit
P39,23,2.901346207,TLD,2,1,right,0.0,2.901346207,implicit
P39,24,2.541664839,TLD,2,1,left,1.0,2.541664839,implicit
P39,25,1.251623154,TLD,2,0,right,0.0,1.251623154,implicit
P39,26,2.362802029,TLD,2,1,left,1.0,2.362802029,implicit
P39,27,2.230174065,TLD,2,1,right,1.0,2.230174065,implicit
P39,28,1.646357059,TLD,2,0,right,0.0,1.646357059,implicit
P39,29,2.377976894,TLD,2,1,left,1.0,2.377976894,implicit
P39,30,2.435750008,TLD,2,0,left,0.0,2.435750008,implicit
P39,31,2.696511984,TLD,2,1,right,1.0,2.696511984,implicit
P39,32,2.477674961,TLD,2,1,left,1.0,2.477674961,implicit
P39,33,2.062813044,TLD,2,1,right,1.0,2.062813044,implicit
P39,34,2.478492022,TLD,2,1,left,1.0,2.478492022,implicit
P39,35,3.337483883,TLD,2,1,left,0.0,3.337483883,implicit
P39,36,2.075937986,TLD,2,1,right,1.0,2.075937986,implicit
P39,37,2.967925072,TLD,2,1,right,0.0,2.967925072,implicit
P39,38,2.47567606,TLD,2,1,left,1.0,2.47567606,implicit
P39,39,3.171633959,TLD,2,1,left,0.0,3.171633959,implicit
P39,40,2.275609016,TLD,2,1,right,1.0,2.275609016,implicit
P39,41,3.162260056,TLD,2,1,left,1.0,3.162260056,implicit
P39,42,2.630245924,TLD,2,1,right,1.0,2.630245924,implicit
P39,43,2.313528061,TLD,2,1,left,1.0,2.313528061,implicit
P39,44,2.092746973,TLD,2,1,right,1.0,2.092746973,implicit
P39,45,1.018311977,TLD,2,0,right,0.0,1.018311977,implicit
P39,46,0.5266959667,TLD,2,0,left,1.0,0.5266959667,implicit
P39,47,4.103808165,TLD,2,1,left,0.0,4.103808165,implicit
P39,48,6.893136024,TLD,2,1,right,1.0,,implicit
P41,1,3.848069906,TLD,4,1,right,0.0,3.848069906,implicit
P41,2,5.678553104,TLD,4,1,left,1.0,,implicit
P41,3,3.002475977,TLD,4,1,right,1.0,3.002475977,implicit
P41,4,2.817389011,TLD,4,1,right,0.0,2.817389011,implicit
P41,5,3.458930969,TLD,4,1,left,1.0,3.458930969,implicit
P41,6,2.953369141,TLD,4,1,left,0.0,2.953369141,implicit
