index,phase,block,Sound1_preAndPosttest,Sound2_preAndPosttest,category,side,changeTrial,alternationTargetExpectation,SoundAndAlternationConvergence,soundfileNum,duration,pitch,blockOrig,trial,discrimStim.thisTrialN,discrimStim.thisIndex,key_resp_14.keys,pretestCorr,pretestDistance,key_resp_14.rt,resp_1.keys,resp_1.corr,responseAlternation.corr,resp_1.rt,mean,SD,RTwoOutlier,LowOutlier,HighOutlier,anticipationThreshold,additiveAgeRTCorrection,ageCorrection5yrs,anticipated,anticipated5,key_resp_20.keys,key_resp_20.corr,categoryDecision,key_resp_20.rt,participant,group,sex,demographicInfo,soundDimension,trialOrder
78,explicitTest,3,,,,right,1,right,converge,4,0.66,2.304593711,5,58,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,4.396857023,P27,DLD,m,1547,pitch,1
79,explicitTest,3,,,,left,1,left,converge,3,0.54,1.893968967,5,59,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,left,1,0,7.931206942,P27,DLD,m,1547,pitch,1
80,explicitTest,3,,,,right,1,right,converge,6,0.9,3.125843199,5,60,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,4.981329918,P27,DLD,m,1547,pitch,1
81,explicitTest,3,,,,right,0,left,conflict,4,0.66,2.304593711,4,61,,,,,,,,,0,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,0.197717905,P27,DLD,m,1547,pitch,1
82,explicitTest,3,,,,left,1,left,converge,1,0.3,1.07271948,4,62,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,left,1,0,4.314284086,P27,DLD,m,1547,pitch,1
83,explicitTest,3,,,,right,1,right,converge,6,0.9,3.125843199,4,63,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,4.662069082,P27,DLD,m,1547,pitch,1
84,explicitTest,3,,,,right,0,left,conflict,5,0.78,2.715218455,4,64,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,left,0,0,3.113902092,P27,DLD,m,1547,pitch,1
85,explicitTest,3,,,,left,1,left,converge,2,0.42,1.483344223,4,65,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,left,1,0,4.732093096,P27,DLD,m,1547,pitch,1
86,explicitTest,3,,,,left,0,right,conflict,3,0.54,1.893968967,4,66,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,right,0,1,4.514581919,P27,DLD,m,1547,pitch,1
87,explicitTest,3,,,,right,1,right,converge,6,0.9,3.125843199,8,67,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,3.578956127,P27,DLD,m,1547,pitch,1
88,explicitTest,3,,,,left,1,left,converge,3,0.54,1.893968967,8,68,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,left,1,0,4.397901058,P27,DLD,m,1547,pitch,1
89,explicitTest,3,,,,right,1,right,converge,4,0.66,2.304593711,8,69,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,3.933005095,P27,DLD,m,1547,pitch,1
90,explicitTest,3,,,,left,1,left,converge,2,0.42,1.483344223,8,70,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,left,1,0,2.231589794,P27,DLD,m,1547,pitch,1
91,explicitTest,3,,,,left,0,right,conflict,1,0.3,1.07271948,8,71,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.8,0.74,0.58,0,0,right,0,1,2.316075087,P27,DLD,m,1547,pitch,1
92,explicitTest,3,,,,right,1,right,converge,5,0.78,2.715218455,8,72,,,,,,,,,1,,2.634108613,0.530028056,NA,NA,0,1.383,0.74,0.58,0,0,right,1,1,6.131957054,P27,DLD,m,1547,pitch,1
93,,,,,,,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
94,,,,,,,,,,,,,,,,,,,,,,,,,2.634108613,0.530028056,NA,NA,0,,,0.58,,,,,,,P27,DLD,m,1547,pitch,1
115,phase,block,Sound1,Sound2,category,side,,,,duration_dur,pitch_pitch,toy1file_explicit,sound_pitch,trial,discrimStim.thisTrialN,discrimStim.thisIndex,key_resp_14.keys,0,#N/A,key_resp_14.rt,resp_1.keys,resp_1.corr,,resp_1.rt,2.530398369,0.4765131394,NA,resp_1.rt,NA,1.383,0.66,0.58,0,0,key_resp_20.keys,key_resp_20.corr,0,key_resp_20.rt,participant,DLD,m,1655,version,list
230,phase,block,Sound1,Sound2,category,side,,,,soundfileNum,duration_dur,pitch_pitch,blockOrig,trial,discrimStim.thisTrialN,discrimStim.thisIndex,key_resp_14.keys,0,#N/A,key_resp_14.rt,resp_1.keys,resp_1.corr,,resp_1.rt,2.530398369,0.4765131394,NA,resp_1.rt,NA,1.383,0.66,0.58,0,0,key_resp_20.keys,key_resp_20.corr,0,key_resp_20.rt,participant,DLD,m,1655,version,list
231,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_4.wav,D,,,,,,,,,,0,9,s,0,2,4.743071079,,,,,2.29977719,0.5895960138,NA,NA,0,,,0.58,,,,,,,P30,TLD,f,1667,pitch,1
232,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_2.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_6.wav,D,,,,,,,,,,1,7,d,1,4,4.585211992,,,,,2.29977719,0.5895960138,NA,NA,0,,,0.58,,,,,,,P30,TLD,f,1667,pitch,1
233,pretest,1,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_1.wav,/Users/Tweety/Desktop/K99preschoolImplicit/ramped/oneDpitch_2.wav,D,,,,,,,,,,2,1,s,0,1,4.531659842,,,,,2.29977719,0.5895960138,NA,NA,0,,,0.58,,,,,,,P30,TLD,f,1667,pitch,1
