participant,trial,group,trialOrder,side,changeTrial,RTwoOutlier,soundDimension,soundfileNum,duration,pitch,response_time,correct,phase,RT_3x_std,sum_changetrial_window,sound_label_original,sound_code_original,sound_high_low,sound_label,sound_code
P105,63,DLD,5,left,1.0,True,duration,2,0.42,1.483344223,6.428290844,1,explicit,True,2.0,duration_2,1,low,duration_low,1
P105,64,DLD,5,right,1.0,True,duration,5,0.78,2.715218455,7.343405008,1,explicit,True,3.0,duration_5,4,high,duration_high,0
P105,65,DLD,5,right,0.0,True,duration,4,0.66,2.304593711,8.178102016,0,explicit,True,3.0,duration_4,3,high,duration_high,0
P105,66,DLD,5,left,1.0,True,duration,1,0.3,1.07271948,4.830352068,0,explicit,True,4.0,duration_1,0,low,duration_low,1
P105,67,DLD,5,left,0.0,True,duration,1,0.3,1.07271948,2.913204908,0,explicit,True,4.0,duration_1,0,low,duration_low,1
P105,68,DLD,5,right,1.0,True,duration,4,0.66,2.304593711,3.632581949,0,explicit,True,3.0,duration_4,3,high,duration_high,0
P105,69,DLD,5,right,0.0,True,duration,6,0.9,3.125843199,3.064236164,0,explicit,True,3.0,duration_6,5,high,duration_high,0
P105,70,DLD,5,left,1.0,True,duration,3,0.54,1.893968967,2.014582872,0,explicit,True,2.0,duration_3,2,low,duration_low,1
P105,71,DLD,5,right,1.0,True,duration,5,0.78,2.715218455,8.41245985,0,explicit,True,2.0,duration_5,4,high,duration_high,0
P105,72,DLD,5,left,1.0,True,duration,2,0.42,1.483344223,9.729469061,0,explicit,True,2.0,duration_2,1,low,duration_low,1
P106,49,DLD,6,right,0.0,False,duration,6,0.9,3.125843199,15.90762901,1,explicit,True,,duration_6,5,high,duration_high,0
P106,50,DLD,6,left,1.0,False,duration,3,0.54,1.893968967,2.816282034,1,explicit,True,,duration_3,2,low,duration_low,1
P106,51,DLD,6,left,0.0,False,duration,2,0.42,1.483344223,1.265254974,0,explicit,True,,duration_2,1,low,duration_low,1
P106,52,DLD,6,right,1.0,False,duration,4,0.66,2.304593711,15.5753572,1,explicit,True,,duration_4,3,high,duration_high,0
P106,53,DLD,6,left,1.0,False,duration,1,0.3,1.07271948,4.981617928,1,explicit,True,,duration_1,0,low,duration_low,1
P106,54,DLD,6,right,1.0,False,duration,5,0.78,2.715218455,10.12825394,1,explicit,True,,duration_5,4,high,duration_high,0
P106,55,DLD,6,left,1.0,False,duration,1,0.3,1.07271948,5.681670904,1,explicit,True,2.0,duration_1,0,low,duration_low,1
P106,56,DLD,6,right,1.0,False,duration,4,0.66,2.304593711,3.099483013,1,explicit,True,3.0,duration_4,3,high,duration_high,0
P106,57,DLD,6,right,0.0,False,duration,5,0.78,2.715218455,1.382062912,0,explicit,True,3.0,duration_5,4,high,duration_high,0
P106,58,DLD,6,left,1.0,False,duration,3,0.54,1.893968967,5.031325102,0,explicit,True,4.0,duration_3,2,low,duration_low,1
P106,59,DLD,6,left,0.0,False,duration,2,0.42,1.483344223,5.033047915,0,explicit,True,4.0,duration_2,1,low,duration_low,1
P106,60,DLD,6,right,1.0,False,duration,6,0.9,3.125843199,10.52846503,1,explicit,True,3.0,duration_6,5,high,duration_high,0
P106,61,DLD,6,right,0.0,False,duration,4,0.66,2.304593711,3.482861042,0,explicit,True,3.0,duration_4,3,high,duration_high,0
P106,62,DLD,6,left,1.0,False,duration,1,0.3,1.07271948,4.631057978,1,explicit,True,2.0,duration_1,0,low,duration_low,1
P106,63,DLD,6,right,1.0,False,duration,6,0.9,3.125843199,4.464051008,1,explicit,True,2.0,duration_6,5,high,duration_high,0
P106,64,DLD,6,right,0.0,False,duration,5,0.78,2.715218455,4.345760107,0,explicit,True,2.0,duration_5,4,high,duration_high,0
P106,65,DLD,6,left,1.0,False,duration,2,0.42,1.483344223,4.399119854,0,explicit,True,2.0,duration_2,1,low,duration_low,1
P106,66,DLD,6,left,0.0,False,duration,3,0.54,1.893968967,4.932159185,0,explicit,True,3.0,duration_3,2,low,duration_low,1
P106,67,DLD,6,left,0.0,False,duration,3,0.54,1.893968967,8.896275043,0,explicit,True,2.0,duration_3,2,low,duration_low,1
P106,68,DLD,6,right,1.0,False,duration,6,0.9,3.125843199,8.961880922,1,explicit,True,3.0,duration_6,5,high,duration_high,0
P106,69,DLD,6,left,1.0,False,duration,2,0.42,1.483344223,2.016000986,1,explicit,True,2.0,duration_2,1,low,duration_low,1
P106,70,DLD,6,right,1.0,False,duration,5,0.78,2.715218455,0.7880749702,1,explicit,True,1.0,duration_5,4,high,duration_high,0
P106,71,DLD,6,right,0.0,False,duration,4,0.66,2.304593711,0.03236818314,0,explicit,True,2.0,duration_4,3,high,duration_high,0
P106,72,DLD,6,left,1.0,False,duration,1,0.3,1.07271948,1.481207848,1,explicit,True,2.0,duration_1,0,low,duration_low,1
P107,49,DLD,2,left,0.0,False,duration,2,0.42,1.483344223,6.24864912,0,explicit,True,,duration_2,1,low,duration_low,1
P107,50,DLD,2,right,1.0,False,duration,5,0.78,2.715218455,12.99589992,1,explicit,True,,duration_5,4,high,duration_high,0
P107,51,DLD,2,left,1.0,False,duration,3,0.54,1.893968967,3.6477561,1,explicit,True,,duration_3,2,low,duration_low,1
P107,52,DLD,2,left,0.0,False,duration,1,0.3,1.07271948,6.595471859,0,explicit,True,,duration_1,0,low,duration_low,1
P107,53,DLD,2,right,1.0,False,duration,6,0.9,3.125843199,6.111920118,0,explicit,True,,duration_6,5,high,duration_high,0
P107,54,DLD,2,right,0.0,False,duration,4,0.66,2.304593711,11.44625807,0,explicit,True,,duration_4,3,high,duration_high,0
P107,55,DLD,2,right,0.0,False,duration,6,0.9,3.125843199,5.046210051,1,explicit,True,2.0,duration_6,5,high,duration_high,0
P107,56,DLD,2,left,1.0,False,duration,3,0.54,1.893968967,3.962282896,1,explicit,True,3.0,duration_3,2,low,duration_low,1
P107,57,DLD,2,left,0.0,False,duration,2,0.42,1.483344223,3.666628122,0,explicit,True,2.0,duration_2,1,low,duration_low,1
P107,58,DLD,2,right,1.0,False,duration,4,0.66,2.304593711,6.047523022,0,explicit,True,1.0,duration_4,3,high,duration_high,0
P107,59,DLD,2,left,1.0,False,duration,1,0.3,1.07271948,3.398738861,0,explicit,True,2.0,duration_1,0,low,duration_low,1
P107,60,DLD,2,right,1.0,False,duration,5,0.78,2.715218455,6.594281912,0,explicit,True,1.0,duration_5,4,high,duration_high,0
P107,61,DLD,2,left,1.0,False,duration,1,0.3,1.07271948,4.479593039,0,explicit,True,2.0,duration_1,0,low,duration_low,1
P107,62,DLD,2,right,1.0,False,duration,4,0.66,2.304593711,6.964143038,0,explicit,True,3.0,duration_4,3,high,duration_high,0
P107,63,DLD,2,right,0.0,False,duration,6,0.9,3.125843199,4.713825941,1,explicit,True,3.0,duration_6,5,high,duration_high,0
P107,64,DLD,2,left,1.0,False,duration,3,0.54,1.893968967,2.797405958,1,explicit,True,4.0,duration_3,2,low,duration_low,1
P107,65,DLD,2,right,1.0,False,duration,5,0.78,2.715218455,3.730038881,1,explicit,True,4.0,duration_5,4,high,duration_high,0
P107,66,DLD,2,left,1.0,False,duration,2,0.42,1.483344223,2.215734959,1,explicit,True,3.0,duration_2,1,low,duration_low,1
P107,67,DLD,2,left,0.0,False,duration,3,0.54,1.893968967,4.030532122,0,explicit,True,3.0,duration_3,2,low,duration_low,1
P107,68,DLD,2,right,1.0,False,duration,6,0.9,3.125843199,4.061650991,0,explicit,True,3.0,duration_6,5,high,duration_high,0
P107,69,DLD,2,left,1.0,False,duration,2,0.42,1.483344223,2.716725111,0,explicit,True,3.0,duration_2,1,low,duration_low,1
P107,70,DLD,2,right,1.0,False,duration,5,0.78,2.715218455,3.164352894,0,explicit,True,3.0,duration_5,4,high,duration_high,0
P107,71,DLD,2,right,0.0,False,duration,4,0.66,2.304593711,7.36083889,1,explicit,True,3.0,duration_4,3,high,duration_high,0
P107,72,DLD,2,left,1.0,False,duration,1,0.3,1.07271948,3.529014111,1,explicit,True,3.0,duration_1,0,low,duration_low,1
P108,49,TLD,1,left,0.0,False,pitch,1,0.3,1.07271948,48.21494794,0,explicit,False,,pitch_1,6,low,pitch_low,3
P108,50,TLD,1,right,1.0,False,pitch,4,0.66,2.304593711,16.17577004,1,explicit,True,,pitch_4,9,high,pitch_high,2
P108,51,TLD,1,right,0.0,False,pitch,5,0.78,2.715218455,2.866239071,0,explicit,True,,pitch_5,10,high,pitch_high,2
P108,52,TLD,1,left,1.0,False,pitch,3,0.54,1.893968967,2.248311043,0,explicit,True,,pitch_3,8,low,pitch_low,3
P108,53,TLD,1,left,0.0,False,pitch,2,0.42,1.483344223,93.09493184,0,explicit,False,,pitch_2,7,low,pitch_low,3
P108,54,TLD,1,right,1.0,False,pitch,6,0.9,3.125843199,2.213295937,0,explicit,True,,pitch_6,11,high,pitch_high,2
P108,55,TLD,1,right,0.0,False,pitch,5,0.78,2.715218455,1.282361984,1,explicit,True,2.0,pitch_5,10,high,pitch_high,2
P108,56,TLD,1,left,1.0,False,pitch,2,0.42,1.483344223,1.247298002,1,explicit,True,2.0,pitch_2,7,low,pitch_low,3
P108,57,TLD,1,left,0.0,False,pitch,1,0.3,1.07271948,0.9483931065,0,explicit,True,2.0,pitch_1,6,low,pitch_low,3
P108,58,TLD,1,right,1.0,False,pitch,4,0.66,2.304593711,30.63668895,0,explicit,False,2.0,pitch_4,9,high,pitch_high,2
P108,59,TLD,1,left,1.0,False,pitch,3,0.54,1.893968967,1.082076788,0,explicit,True,2.0,pitch_3,8,low,pitch_low,3
P108,60,TLD,1,right,1.0,False,pitch,6,0.9,3.125843199,1.081783056,0,explicit,True,2.0,pitch_6,11,high,pitch_high,2
P108,61,TLD,1,right,0.0,False,pitch,4,0.66,2.304593711,1.946850061,1,explicit,True,2.0,pitch_4,9,high,pitch_high,2
P108,62,TLD,1,left,1.0,False,pitch,1,0.3,1.07271948,2.29954505,1,explicit,True,3.0,pitch_1,6,low,pitch_low,3
P108,63,TLD,1,right,1.0,False,pitch,6,0.9,3.125843199,0.8654079437,1,explicit,True,3.0,pitch_6,11,high,pitch_high,2
P108,64,TLD,1,right,0.0,False,pitch,5,0.78,2.715218455,0.8486590385,0,explicit,True,3.0,pitch_5,10,high,pitch_high,2
P108,65,TLD,1,left,1.0,False,pitch,2,0.42,1.483344223,3.429147959,0,explicit,True,3.0,pitch_2,7,low,pitch_low,3
P108,66,TLD,1,left,0.0,False,pitch,3,0.54,1.893968967,41.73412204,0,explicit,False,3.0,pitch_3,8,low,pitch_low,3
P108,67,TLD,1,right,1.0,False,pitch,6,0.9,3.125843199,2.862662077,0,explicit,True,2.0,pitch_6,11,high,pitch_high,2
P108,68,TLD,1,left,1.0,False,pitch,3,0.54,1.893968967,1.748746872,0,explicit,True,3.0,pitch_3,8,low,pitch_low,3
P108,69,TLD,1,right,1.0,False,pitch,4,0.66,2.304593711,3.928864002,0,explicit,True,2.0,pitch_4,9,high,pitch_high,2
P108,70,TLD,1,left,1.0,False,pitch,2,0.42,1.483344223,4.63173604,0,explicit,True,2.0,pitch_2,7,low,pitch_low,3
P108,71,TLD,1,left,0.0,False,pitch,1,0.3,1.07271948,11.1781671,0,explicit,True,3.0,pitch_1,6,low,pitch_low,3
P108,72,TLD,1,right,1.0,False,pitch,5,0.78,2.715218455,1.913366079,0,explicit,True,3.0,pitch_5,10,high,pitch_high,2
P109,49,TLD,6,right,0.0,False,pitch,6,0.9,3.125843199,6.982149839,1,explicit,True,,pitch_6,11,high,pitch_high,2
P109,50,TLD,6,left,1.0,False,pitch,3,0.54,1.893968967,6.230458975,1,explicit,True,,pitch_3,8,low,pitch_low,3
P109,51,TLD,6,left,0.0,False,pitch,2,0.42,1.483344223,3.165829897,0,explicit,True,,pitch_2,7,low,pitch_low,3
P109,52,TLD,6,right,1.0,False,pitch,4,0.66,2.304593711,5.998253107,1,explicit,True,,pitch_4,9,high,pitch_high,2
P109,53,TLD,6,left,1.0,False,pitch,1,0.3,1.07271948,5.129014969,1,explicit,True,,pitch_1,6,low,pitch_low,3
P109,54,TLD,6,right,1.0,False,pitch,5,0.78,2.715218455,2.030677795,1,explicit,True,,pitch_5,10,high,pitch_high,2
P109,55,TLD,6,left,1.0,False,pitch,1,0.3,1.07271948,2.415137053,1,explicit,True,2.0,pitch_1,6,low,pitch_low,3
P109,56,TLD,6,right,1.0,False,pitch,4,0.66,2.304593711,1.77992487,1,explicit,True,3.0,pitch_4,9,high,pitch_high,2
P109,57,TLD,6,right,0.0,False,pitch,5,0.78,2.715218455,0.9146101475,0,explicit,True,3.0,pitch_5,10,high,pitch_high,2
P109,58,TLD,6,left,1.0,False,pitch,3,0.54,1.893968967,2.030189991,1,explicit,True,4.0,pitch_3,8,low,pitch_low,3
P109,59,TLD,6,left,0.0,False,pitch,2,0.42,1.483344223,5.249035835,0,explicit,True,4.0,pitch_2,7,low,pitch_low,3
P109,60,TLD,6,right,1.0,False,pitch,6,0.9,3.125843199,2.714659929,1,explicit,True,3.0,pitch_6,11,high,pitch_high,2
P109,61,TLD,6,right,0.0,False,pitch,4,0.66,2.304593711,0.9647779465,0,explicit,True,3.0,pitch_4,9,high,pitch_high,2
P109,62,TLD,6,left,1.0,False,pitch,1,0.3,1.07271948,2.331201077,1,explicit,True,2.0,pitch_1,6,low,pitch_low,3
P109,63,TLD,6,right,1.0,False,pitch,6,0.9,3.125843199,1.430058002,1,explicit,True,2.0,pitch_6,11,high,pitch_high,2
P109,64,TLD,6,right,0.0,False,pitch,5,0.78,2.715218455,2.049175024,1,explicit,True,2.0,pitch_5,10,high,pitch_high,2
P109,65,TLD,6,left,1.0,False,pitch,2,0.42,1.483344223,2.179418087,1,explicit,True,2.0,pitch_2,7,low,pitch_low,3
P109,66,TLD,6,left,0.0,False,pitch,3,0.54,1.893968967,5.198192835,1,explicit,True,3.0,pitch_3,8,low,pitch_low,3
P109,67,TLD,6,left,0.0,False,pitch,3,0.54,1.893968967,1.082547903,0,explicit,True,2.0,pitch_3,8,low,pitch_low,3
P109,68,TLD,6,right,1.0,False,pitch,6,0.9,3.125843199,2.183465004,0,explicit,True,3.0,pitch_6,11,high,pitch_high,2
P109,69,TLD,6,left,1.0,False,pitch,2,0.42,1.483344223,2.346781015,0,explicit,True,2.0,pitch_2,7,low,pitch_low,3
P109,70,TLD,6,right,1.0,False,pitch,5,0.78,2.715218455,5.195611954,1,explicit,True,1.0,pitch_5,10,high,pitch_high,2
P109,71,TLD,6,right,0.0,False,pitch,4,0.66,2.304593711,2.517138958,0,explicit,True,2.0,pitch_4,9,high,pitch_high,2
P109,72,TLD,6,left,1.0,False,pitch,1,0.3,1.07271948,8.695719004,0,explicit,True,2.0,pitch_1,6,low,pitch_low,3
P110,49,TLD,5,right,0.0,True,duration,5,0.78,2.715218455,5.263184786,0,explicit,True,,duration_5,4,high,duration_high,0
P110,50,TLD,5,left,1.0,True,duration,2,0.42,1.483344223,6.229990959,1,explicit,True,,duration_2,1,low,duration_low,1
P110,51,TLD,5,left,0.0,True,duration,1,0.3,1.07271948,6.031394005,0,explicit,True,,duration_1,0,low,duration_low,1
P110,52,TLD,5,right,1.0,True,duration,4,0.66,2.304593711,2.566476107,0,explicit,True,,duration_4,3,high,duration_high,0
P110,53,TLD,5,left,1.0,True,duration,3,0.54,1.893968967,1.997303009,1,explicit,True,,duration_3,2,low,duration_low,1
P110,54,TLD,5,right,1.0,True,duration,6,0.9,3.125843199,2.03224802,1,explicit,True,,duration_6,5,high,duration_high,0
