participant,trial,group,trialOrder,side,changeTrial,RTwoOutlier,soundDimension,soundfileNum,duration,pitch,response_time,correct,phase,RT_3x_std
P65,15,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.4114151,1,implicit,True
P65,16,DLD,1,right,0.0,True,pitch,5,0.78,2.715218455,3.184103012,1,implicit,True
P65,17,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.75701189,1,implicit,True
P65,18,DLD,1,left,0.0,True,pitch,3,0.54,1.893968967,2.552503109,1,implicit,True
P65,19,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.624881029,1,implicit,True
P65,20,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,3.264075994,1,implicit,True
P65,21,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.872073174,1,implicit,True
P65,22,DLD,1,left,1.0,True,pitch,2,0.42,1.483344223,2.777409077,1,implicit,True
P65,23,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,2.687100887,1,implicit,True
P65,24,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.274035215,1,implicit,True
P65,25,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,2.553574085,1,implicit,True
P65,26,DLD,1,right,1.0,True,pitch,5,0.78,2.715218455,2.560989857,1,implicit,True
P65,27,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.67889595,1,implicit,True
P65,28,DLD,1,left,0.0,True,pitch,1,0.3,1.07271948,3.137360811,1,implicit,True
P65,29,DLD,1,right,1.0,True,pitch,6,0.9,3.125843199,2.575783014,1,implicit,True
P65,30,DLD,1,right,0.0,True,pitch,4,0.66,2.304593711,2.800379038,1,implicit,True
P65,31,DLD,1,right,0.0,True,pitch,6,0.9,3.125843199,2.666814089,1,implicit,True
P65,32,DLD,1,left,1.0,True,pitch,3,0.54,1.893968967,2.523455858,1,implicit,True
P65,33,DLD,1,left,0.0,True,pitch,2,0.42,1.483344223,3.352930069,1,implicit,True
P65,34,DLD,1,right,1.0,True,pitch,4,0.66,2.304593711,2.710353136,1,implicit,True
P65,35,DLD,1,left,1.0,True,pitch,1,0.3,1.07271948,2.879875898,1,implicit,True
